Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,YearsAtCompany
41,Yes,Travel_Rarely,Sales,1,1,2,Sales Executive,4,5993,8,6
49,No,Travel_Frequently,Research & Development,8,2,2,Research Scientist,2,5130,1,10
37,Yes,Travel_Rarely,Research & Development,2,4,1,Laboratory Technician,3,2090,6,0
33,No,Travel_Frequently,Research & Development,3,5,1,Research Scientist,3,2909,1,8
27,No,Travel_Rarely,Research & Development,2,7,1,Laboratory Technician,2,3468,9,2
32,No,Travel_Frequently,Research & Development,2,8,1,Laboratory Technician,4,3068,0,7
59,No,Travel_Rarely,Research & Development,3,10,1,Laboratory Technician,1,2670,4,1
30,No,Travel_Rarely,Research & Development,24,11,1,Laboratory Technician,3,2693,1,1
38,No,Travel_Frequently,Research & Development,23,12,3,Manufacturing Director,3,9526,0,9
36,No,Travel_Rarely,Research & Development,27,13,2,Healthcare Representative,3,5237,6,7
35,No,Travel_Rarely,Research & Development,16,14,1,Laboratory Technician,2,2426,0,5
29,No,Travel_Rarely,Research & Development,15,15,2,Laboratory Technician,3,4193,0,9
31,No,Travel_Rarely,Research & Development,26,16,1,Research Scientist,3,2911,1,5
34,No,Travel_Rarely,Research & Development,19,18,1,Laboratory Technician,4,2661,0,2
28,Yes,Travel_Rarely,Research & Development,24,19,1,Laboratory Technician,3,2028,5,4
29,No,Travel_Rarely,Research & Development,21,20,3,Manufacturing Director,1,9980,1,10
32,No,Travel_Rarely,Research & Development,5,21,1,Research Scientist,2,3298,0,6
22,No,Non-Travel,Research & Development,16,22,1,Laboratory Technician,4,2935,1,1
53,No,Travel_Rarely,Sales,2,23,4,Manager,4,15427,2,25
38,No,Travel_Rarely,Research & Development,2,24,1,Research Scientist,4,3944,5,3
24,No,Non-Travel,Research & Development,11,26,2,Manufacturing Director,3,4011,0,4
36,Yes,Travel_Rarely,Sales,9,27,1,Sales Representative,1,3407,7,5
34,No,Travel_Rarely,Research & Development,7,28,3,Research Director,2,11994,0,12
21,No,Travel_Rarely,Research & Development,15,30,1,Research Scientist,4,1232,1,0
34,Yes,Travel_Rarely,Research & Development,6,31,1,Research Scientist,1,2960,2,4
53,No,Travel_Rarely,Research & Development,5,32,5,Manager,3,19094,4,14
32,Yes,Travel_Frequently,Research & Development,16,33,1,Research Scientist,1,3919,1,10
42,No,Travel_Rarely,Sales,8,35,2,Sales Executive,2,6825,0,9
44,No,Travel_Rarely,Research & Development,7,36,3,Healthcare Representative,4,10248,3,22
46,No,Travel_Rarely,Sales,2,38,5,Manager,1,18947,3,2
33,No,Travel_Rarely,Research & Development,2,39,1,Laboratory Technician,4,2496,4,1
44,No,Travel_Rarely,Research & Development,10,40,2,Healthcare Representative,4,6465,2,4
30,No,Travel_Rarely,Research & Development,9,41,1,Laboratory Technician,3,2206,1,10
39,Yes,Travel_Rarely,Sales,5,42,2,Sales Representative,4,2086,3,1
24,Yes,Travel_Rarely,Research & Development,1,45,1,Research Scientist,4,2293,2,2
43,No,Travel_Rarely,Research & Development,2,46,1,Research Scientist,3,2645,1,5
50,Yes,Travel_Rarely,Sales,3,47,1,Sales Representative,3,2683,1,3
35,No,Travel_Rarely,Sales,2,49,1,Sales Representative,4,2014,1,2
36,No,Travel_Rarely,Research & Development,5,51,1,Research Scientist,1,3419,9,1
33,No,Travel_Frequently,Sales,1,52,2,Sales Executive,1,5376,2,5
35,No,Travel_Rarely,Research & Development,4,53,1,Laboratory Technician,4,1951,1,1
27,No,Travel_Rarely,Research & Development,2,54,1,Laboratory Technician,1,2341,1,1
26,Yes,Travel_Rarely,Research & Development,25,55,1,Laboratory Technician,3,2293,1,1
27,No,Travel_Frequently,Sales,8,56,3,Sales Executive,3,8726,1,9
30,No,Travel_Frequently,Research & Development,1,57,2,Laboratory Technician,4,4011,1,12
41,Yes,Travel_Rarely,Research & Development,12,58,5,Research Director,3,19545,1,22
34,No,Non-Travel,Sales,23,60,2,Sales Executive,3,4568,0,9
37,No,Travel_Rarely,Research & Development,19,61,1,Research Scientist,2,3022,4,1
46,No,Travel_Frequently,Sales,5,62,2,Sales Executive,4,5772,4,9
35,No,Travel_Rarely,Research & Development,8,63,1,Laboratory Technician,4,2269,1,1
48,Yes,Travel_Rarely,Research & Development,1,64,3,Laboratory Technician,3,5381,9,1
28,Yes,Travel_Rarely,Research & Development,5,65,1,Laboratory Technician,3,3441,1,2
44,No,Travel_Rarely,Sales,1,68,2,Sales Executive,1,5454,5,4
35,No,Non-Travel,Research & Development,11,70,3,Healthcare Representative,1,9884,2,4
26,No,Travel_Rarely,Sales,23,72,2,Sales Executive,4,4157,7,2
33,No,Travel_Frequently,Research & Development,1,73,3,Research Director,4,13458,1,15
35,No,Travel_Frequently,Sales,18,74,3,Sales Executive,1,9069,1,9
35,No,Travel_Rarely,Research & Development,23,75,1,Laboratory Technician,1,4014,3,2
31,No,Travel_Rarely,Research & Development,7,76,2,Laboratory Technician,4,5915,3,7
37,No,Travel_Rarely,Research & Development,1,77,2,Manufacturing Director,3,5993,1,7
32,No,Travel_Rarely,Research & Development,1,78,2,Manufacturing Director,4,6162,1,9
38,No,Travel_Frequently,Research & Development,29,79,2,Laboratory Technician,4,2406,1,10
50,No,Travel_Rarely,Research & Development,7,80,5,Research Director,3,18740,5,27
59,No,Travel_Rarely,Sales,25,81,3,Sales Executive,1,7637,7,21
36,No,Travel_Rarely,Research & Development,8,83,3,Healthcare Representative,3,10096,1,17
55,No,Travel_Rarely,Research & Development,8,84,4,Manager,3,14756,2,5
36,No,Travel_Frequently,Research & Development,11,85,2,Manufacturing Director,2,6499,1,6
45,No,Travel_Rarely,Research & Development,7,86,3,Research Scientist,1,9724,2,1
35,No,Travel_Frequently,Research & Development,1,88,1,Research Scientist,1,2194,4,3
36,Yes,Travel_Rarely,Research & Development,9,90,1,Research Scientist,3,3388,0,1
59,No,Travel_Frequently,Sales,1,91,2,Sales Executive,3,5473,7,4
29,No,Travel_Rarely,Research & Development,2,94,1,Research Scientist,2,2703,0,5
31,No,Travel_Rarely,Research & Development,1,95,1,Research Scientist,2,2501,1,1
32,No,Travel_Rarely,Research & Development,1,96,2,Research Scientist,2,6220,1,10
36,No,Travel_Rarely,Research & Development,6,97,1,Laboratory Technician,4,3038,3,1
31,No,Travel_Rarely,Research & Development,8,98,2,Manufacturing Director,4,4424,1,11
35,No,Travel_Rarely,Sales,1,100,2,Sales Executive,1,4312,0,15
45,No,Travel_Rarely,Research & Development,6,101,3,Research Director,1,13245,4,0
37,No,Travel_Rarely,Research & Development,7,102,3,Research Director,3,13664,4,5
46,No,Travel_Rarely,Human Resources,5,103,2,Human Resources,2,5021,8,4
30,No,Travel_Rarely,Research & Development,1,104,2,Laboratory Technician,4,5126,1,10
35,No,Travel_Rarely,Research & Development,1,105,1,Research Scientist,3,2859,1,6
55,No,Travel_Rarely,Sales,1,106,3,Sales Executive,4,10239,3,1
38,No,Non-Travel,Research & Development,6,107,2,Research Scientist,4,5329,7,13
34,No,Travel_Rarely,Research & Development,1,110,2,Manufacturing Director,2,4325,1,5
56,No,Travel_Rarely,Research & Development,7,112,3,Manufacturing Director,4,7260,4,6
